id,value,Intensity s1;Intensity s2;Intensity s3
cellular organisms@Eukaryota@Viridiplantae@Chlorophyta,75.1,75.1;0;0
cellular organisms@Bacteria@Proteobacteria@Betaproteobacteria@Burkholderiales@Comamonadaceae,73.7,0;73.7;0
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Eubacteriaceae@Eubacterium@Eubacterium plexicaudatum,101.67,84.85;100.73;94.05
cellular organisms@Eukaryota@Fungi@Ascomycota@Eurotiomycetes@Eurotiales@Trichocomaceae@Talaromyces,78.24,0;0;78.24
cellular organisms@Eukaryota@Metazoa@Arthropoda@Insecta@Lepidoptera@Papilionidae,69.19,0;69.19;0
cellular organisms@Bacteria@Bacteroidetes@Cytophagia@Cytophagales@Cytophagaceae@Flexibacter@Flexibacter litoralis,0,0;0;0
cellular organisms@Eukaryota@Metazoa@Arthropoda@Insecta@Lepidoptera@Papilionidae@Papilio,69.19,0;69.19;0
cellular organisms@Eukaryota@Metazoa@Arthropoda@Insecta@Diptera,72.67,0;72.67;0
cellular organisms@Bacteria@Bacteroidetes@Flavobacteriia,87.56,65.49;86.73;79.81
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Pseudobacteroides@Pseudobacteroides cellulosolvens,74.36,0;74.36;0
cellular organisms@Archaea@Crenarchaeota@Thermoprotei@Desulfurococcales@Desulfurococcaceae@Ignicoccus,68.03,0;68.03;0
cellular organisms@Bacteria@Bacteroidetes@Sphingobacteriia,79.59,0;0;79.59
cellular organisms@Archaea@Crenarchaeota@Thermoprotei@Desulfurococcales@Desulfurococcaceae@Ignicoccus@Ignicoccus islandicus,68.03,0;68.03;0
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Acetivibrio,80.61,74.1;79.51;0
cellular organisms@Eukaryota@Fungi@Ascomycota@Eurotiomycetes@Eurotiales@Aspergillaceae,70.33,70.33;0;0
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Frankiales@Frankiaceae@Frankia@Frankia sp. G2,74.98,0;74.98;0
cellular organisms@Bacteria@Proteobacteria@Deltaproteobacteria@Desulfovibrionales@Desulfovibrionaceae@Bilophila,87.54,87.37;73.27;0
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Clostridiaceae@Caloranaerobacter,66.99,0;0;66.99
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Clostridiaceae@Butyricicoccus,92.63,0;91.7;85.48
cellular organisms@Archaea@Crenarchaeota@Thermoprotei@Sulfolobales@Sulfolobaceae@Metallosphaera,71.93,0;0;71.93
cellular organisms@Bacteria@Firmicutes@Bacilli@Bacillales@Bacillaceae@Bacillus@Bacillus thermoamylovorans,75.61,0;0;75.61
cellular organisms@Bacteria@Firmicutes@Negativicutes@Selenomonadales@Selenomonadaceae@Mitsuokella,69.45,0;0;69.45
cellular organisms@Eukaryota@Fungi@Basidiomycota@Agaricomycetes@Jaapiales@Jaapiaceae,90.52,0;90.52;0
cellular organisms@Bacteria@Actinobacteria@Thermoleophilia@Solirubrobacterales@Conexibacteraceae@Conexibacter,76.49,0;0;76.49
cellular organisms@Bacteria@Actinobacteria@Thermoleophilia@Solirubrobacterales@Conexibacteraceae@Conexibacter@Conexibacter woesei,76.49,0;0;76.49
cellular organisms@Bacteria@Actinobacteria@Coriobacteriia@Coriobacteriales,81.08,75.03;79.85;0
cellular organisms@Bacteria@Actinobacteria@Coriobacteriia,93.47,87;90.28;88.16
cellular organisms@Eukaryota@Fungi@Basidiomycota@Agaricomycetes@Jaapiales,90.52,0;90.52;0
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Oscillospiraceae@Oscillibacter,104.84,81.57;103.43;99.17
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Bifidobacteriales,89.06,0;89.06;0
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Corynebacteriales,78.89,0;78.89;0
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Micrococcales,76.32,0;76.32;0
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Propionibacteriales,73.37,70.74;0;69.94
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Micromonosporales,77.56,0;76.68;70.2
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Streptomycetales,85.76,80.83;82.36;79.23
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Frankiales,74.98,0;74.98;0
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Corynebacteriales@Dietziaceae@Dietzia,66.39,0;66.39;0
cellular organisms@Eukaryota@Metazoa@Arthropoda@Insecta@Diptera@Psychodidae,72.67,0;72.67;0
cellular organisms@Bacteria@Proteobacteria@Betaproteobacteria@Burkholderiales@Burkholderiaceae@Pandoraea,74.89,74.89;0;0
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhodobacterales@Rhodobacteraceae@Rhodobacter,71.04,71.04;0;0
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Corynebacteriales@Dietziaceae,66.39,0;66.39;0
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Xanthomonadales@Xanthomonadaceae@Lysobacter@Lysobacter arseniciresistens,81.17,0;0;81.17
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhizobiales@Bradyrhizobiaceae@Rhodopseudomonas,78.75,0;78.75;0
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhizobiales@Bradyrhizobiaceae@Rhodopseudomonas@Rhodopseudomonas palustris,78.75,0;78.75;0
cellular organisms@Eukaryota@Fungi@Ascomycota@Leotiomycetes@Helotiales,0,0;0;0
cellular organisms@Eukaryota@Fungi@Ascomycota@Leotiomycetes@Helotiales@Sclerotiniaceae@Sclerotinia,0,0;0;0
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Lachnoclostridium@[Clostridium] hylemonae,85.91,79.52;82.15;81.36
cellular organisms@Eukaryota@Metazoa@Platyhelminthes@Cestoda@Cyclophyllidea@Taeniidae@Hydatigera,85.22,0;85.22;0
cellular organisms@Bacteria@Actinobacteria@Thermoleophilia@Solirubrobacterales@Conexibacteraceae,76.49,0;0;76.49
cellular organisms@Bacteria@Proteobacteria@Deltaproteobacteria@Desulfobacterales@Desulfobacteraceae@Desulfotignum,83.35,0;80.33;80.36
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Oceanospirillales@Halomonadaceae@Chromohalobacter,79.68,0;79.68;0
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Nevskiales@Sinobacteraceae,70.2,0;70.2;0
cellular organisms@Bacteria@Actinobacteria@Coriobacteriia@Coriobacteriales@Coriobacteriaceae@Coriobacterium,77.93,0;77.93;0
cellular organisms@Bacteria@Actinobacteria@Coriobacteriia@Coriobacteriales@Coriobacteriaceae@Coriobacterium@Coriobacterium glomerans,77.93,0;77.93;0
cellular organisms@Archaea@Crenarchaeota@Thermoprotei@Sulfolobales@Sulfolobaceae@Metallosphaera@Metallosphaera yellowstonensis,71.93,0;0;71.93
cellular organisms@Eukaryota@Fungi@Basidiomycota,90.53,65.76;90.52;0
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Blautia,91.4,84.42;89.27;84.14
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Caulobacterales@Caulobacteraceae,75.24,0;0;75.24
cellular organisms@Eukaryota@Viridiplantae@Chlorophyta@Chlorophyceae,75.1,75.1;0;0
cellular organisms@Bacteria@Spirochaetes@Spirochaetia@Spirochaetales@Spirochaetaceae@Salinispira@Salinispira pacifica,75.93,75.74;0;62.24
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Porphyromonadaceae@Parabacteroides@Parabacteroides goldsteinii,107.2,103.26;104.27;96.52
cellular organisms@Eukaryota@Metazoa@Cnidaria@Hydrozoa@Leptothecata@Campanulariidae@Clytia,66.43,0;66.43;0
cellular organisms@Eukaryota@Viridiplantae@Streptophyta@Marchantiopsida@Marchantiales@Marchantiaceae@Marchantia,74.07,71.85;0;70.09
cellular organisms@Bacteria@Firmicutes@Negativicutes@Selenomonadales@Selenomonadaceae@Megamonas,70.9,0;70.9;0
cellular organisms@Eukaryota@Viridiplantae@Streptophyta@Marchantiopsida@Marchantiales@Marchantiaceae@Marchantia@Marchantia polymorpha,74.07,71.85;0;70.09
cellular organisms@Bacteria@Firmicutes@Clostridia@Halanaerobiales@Halanaerobiaceae@Halanaerobium@Halanaerobium hydrogeniformans,76.34,0;76.34;0
cellular organisms@Bacteria@Firmicutes@Bacilli@Lactobacillales@Lactobacillaceae@Lactobacillus@Lactobacillus algidus,87.72,87.61;72.02;0
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Ruminococcus@Ruminococcus lactaris,79.39,64.25;78.8;69.27
cellular organisms@Eukaryota@Metazoa@Cnidaria@Hydrozoa@Leptothecata@Campanulariidae,66.43,0;66.43;0
cellular organisms@Eukaryota@Fungi@Ascomycota@Dothideomycetes@Pleosporales@Didymellaceae,69.22,69.22;0;0
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Eubacteriaceae@Acetobacterium,71.53,71.53;0;0
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Eubacteriaceae@Acetobacterium@Acetobacterium woodii,71.53,71.53;0;0
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Clostridiaceae@Clostridium@Clostridium magnum,77.33,0;75.96;71.65
cellular organisms@Bacteria@Firmicutes@Bacilli@Lactobacillales@Lactobacillaceae,97.44,93.98;93.49;89.09
cellular organisms@Bacteria@Spirochaetes@Spirochaetia@Spirochaetales@Spirochaetaceae@Sphaerochaeta@Sphaerochaeta globosa,69.83,0;69.83;0
cellular organisms@Bacteria@Firmicutes@Clostridia@Thermoanaerobacterales@Thermoanaerobacteraceae@Thermacetogenium,72.68,0;72.68;0
cellular organisms@Bacteria@Nitrospirae,74.82,0;74.82;0
cellular organisms@Bacteria@Nitrospirae@Nitrospira@Nitrospirales@Nitrospiraceae@Candidatus Magnetobacterium,74.82,0;74.82;0
cellular organisms@Archaea@Euryarchaeota@Thermococci@Thermococcales@Thermococcaceae@Thermococcus@Thermococcus cleftensis,80.28,76.95;73;75.7
cellular organisms@Bacteria@Spirochaetes@Spirochaetia@Brachyspirales,87.87,87.87;0;0
cellular organisms@Bacteria@Proteobacteria,98.69,92.17;96.2;91.97
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhodospirillales@Acetobacteraceae@Gluconacetobacter@Gluconacetobacter diazotrophicus,68.48,0;0;68.48
cellular organisms@Bacteria@Proteobacteria@Deltaproteobacteria@Myxococcales@Nannocystaceae,67.26,0;67.26;0
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Ruminiclostridium@Ruminiclostridium sp. KB18,98.19,86.4;95.58;94.05
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Bifidobacteriales@Bifidobacteriaceae,89.06,0;89.06;0
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Enterobacterales,85.88,71.74;79.59;84.49
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria,94.53,86.53;91.36;90.09
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Propionibacteriales@Propionibacteriaceae,73.37,70.74;0;69.94
cellular organisms@Bacteria@Firmicutes,119.01,111.18;116.7;112.96
cellular organisms@Eukaryota@Fungi@Ascomycota@Dothideomycetes@Capnodiales,73.05,0;0;73.05
cellular organisms@Bacteria@Firmicutes@Bacilli@Bacillales@Paenibacillaceae@Paenibacillus,83.42,0;79.35;81.25
cellular organisms@Eukaryota@Fungi@Basidiomycota@Agaricomycetes@Agaricales,65.76,65.76;0;0
cellular organisms@Bacteria@Firmicutes@Bacilli@Lactobacillales@Leuconostocaceae@Leuconostoc,71.26,70.04;65.13;0
cellular organisms@Bacteria@Tenericutes@Mollicutes,86.14,78.96;85.21;0
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Dorea@Dorea sp. D27,66.23,66.23;0;0
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Clostridiaceae@Oxobacter,82.6,0;81.94;74.1
cellular organisms@Bacteria@Firmicutes@Erysipelotrichia@Erysipelotrichales@Erysipelotrichaceae@Eggerthia@Eggerthia catenaformis,71.58,0;68.79;68.33
cellular organisms@Bacteria@Firmicutes@Negativicutes@Veillonellales@Veillonellaceae,77.24,0;77.24;0
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Clostridiaceae,102.24,94.94;100.22;94.94
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Bacteroidaceae@Bacteroides@Bacteroides sp. D2,0,0;0;0
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Oceanospirillales@Kangiellaceae,78.92,0;78.92;0
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Clostridiaceae@Clostridium@Clostridium sp. D5,77.83,0;74.3;75.28
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Ruminococcus,93.37,86.41;89.71;89.02
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Lachnoclostridium,92.39,88.56;87.52;86.52
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Ruminococcus@Ruminococcus albus,84.92,0;83.34;79.75
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Micrococcales@Micrococcaceae,76.32,0;76.32;0
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhodobacterales@Rhodobacteraceae,92.58,74.43;92.32;78.86
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Peptostreptococcaceae@Peptoclostridium,83.09,0;82.04;76.41
cellular organisms@Bacteria@Firmicutes@Bacilli@Bacillales@Staphylococcaceae@Staphylococcus,74.04,0;74.04;0
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Acetivibrio@Acetivibrio ethanolgignens,80.61,74.1;79.51;0
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhodobacterales@Rhodobacteraceae@Sulfitobacter@Sulfitobacter pseudonitzschiae,78.32,0;77.02;72.43
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Tyzzerella,88.09,81.4;84.03;84.03
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Robinsoniella@Robinsoniella sp. RHS,80.58,73.77;79.56;0
cellular organisms@Bacteria@Deinococcus-Thermus,76.8,0;0;76.8
cellular organisms@Bacteria@Firmicutes@Bacilli@Lactobacillales@Streptococcaceae,83.04,0;80.69;79.26
cellular organisms@Bacteria@Proteobacteria@Deltaproteobacteria@Myxococcales@Nannocystaceae@Plesiocystis,67.26,0;67.26;0
cellular organisms@Bacteria@Firmicutes@Bacilli@Lactobacillales@Streptococcaceae@Streptococcus,82.49,0;80.17;78.65
cellular organisms@Bacteria@Proteobacteria@Betaproteobacteria@Burkholderiales@Comamonadaceae@Variovorax,73.7,0;73.7;0
cellular organisms@Bacteria@Proteobacteria@Betaproteobacteria@Burkholderiales@Comamonadaceae@Variovorax@Variovorax paradoxus,73.7,0;73.7;0
cellular organisms@Bacteria@Proteobacteria@Deltaproteobacteria@Myxococcales@Nannocystaceae@Plesiocystis@Plesiocystis pacifica,67.26,0;67.26;0
cellular organisms@Bacteria@Thermotogae@Thermotogae@Thermotogales@Fervidobacteriaceae@Fervidobacterium@Fervidobacterium pennivorans,70.14,0;67.75;66.4
cellular organisms@Bacteria@Bacteroidetes@Cytophagia@Cytophagales@Cytophagaceae,81.34,0;0;81.34
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Xanthomonadales@Xanthomonadaceae,83.22,0;71.9;82.89
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Ruminiclostridium,98.38,87.2;95.63;94.34
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Blautia@Blautia hansenii,82.36,80.93;0;76.84
cellular organisms@Bacteria@Actinobacteria@Coriobacteriia@Eggerthellales@Eggerthellaceae,89.83,83.92;85.58;85.5
cellular organisms@Eukaryota@Metazoa@Porifera@Demospongiae@Haplosclerida@Niphatidae@Amphimedon@Amphimedon queenslandica,73.46,0;73.46;0
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Porphyromonadaceae@Dysgonomonas,77.37,0;77.37;0
cellular organisms@Eukaryota@Fungi@Ascomycota@Leotiomycetes@Helotiales@Sclerotiniaceae@Sclerotinia@Sclerotinia borealis,0,0;0;0
cellular organisms@Bacteria@Actinobacteria@Coriobacteriia@Eggerthellales,89.83,83.92;85.58;85.5
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Anaerobium@Anaerobium acetethylicum,81.3,75.13;80.09;0
cellular organisms@Bacteria@Firmicutes@Bacilli@Lactobacillales@Streptococcaceae@Streptococcus@Streptococcus macacae,69.24,0;0;69.24
cellular organisms@Eukaryota@Viridiplantae@Chlorophyta@Chlorophyceae@Sphaeropleales@Selenastraceae@Monoraphidium,75.1,75.1;0;0
cellular organisms@Bacteria@Fusobacteria,80.63,0;76.52;78.49
cellular organisms@Bacteria@Deinococcus-Thermus@Deinococci@Thermales,76.8,0;0;76.8
cellular organisms@Bacteria@Firmicutes@Bacilli@Lactobacillales@Streptococcaceae@Streptococcus@Streptococcus uberis,73.59,0;73.59;0
cellular organisms@Bacteria@Firmicutes@Bacilli@Lactobacillales@Enterococcaceae@Enterococcus,76.48,0;76.48;0
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Rikenellaceae@Alistipes@Alistipes sp. HGB5,77.76,0;0;77.76
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Fusicatenibacter@Fusicatenibacter saccharivorans,84.49,0;84.45;64.16
cellular organisms@Bacteria@Verrucomicrobia@Verrucomicrobiae@Verrucomicrobiales,104.58,104.51;78.54;85.62
cellular organisms@Eukaryota@Fungi@Ascomycota@Dothideomycetes@Pleosporales@Didymellaceae@Ascochyta,69.22,69.22;0;0
cellular organisms@Bacteria@Firmicutes@Bacilli@Lactobacillales@Streptococcaceae@Lactococcus,73.83,0;71.21;70.39
cellular organisms@Eukaryota@Fungi@Ascomycota@Dothideomycetes@Pleosporales@Didymellaceae@Ascochyta@Didymella rabiei,69.22,69.22;0;0
cellular organisms@Bacteria@Firmicutes@Bacilli@Lactobacillales@Streptococcaceae@Lactococcus@Lactococcus lactis,70.39,0;0;70.39
cellular organisms@Bacteria@Nitrospirae@Nitrospira@Nitrospirales,74.82,0;74.82;0
cellular organisms@Bacteria@Nitrospirae@Nitrospira@Nitrospirales@Nitrospiraceae,74.82,0;74.82;0
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Eubacteriaceae@Eubacterium@Eubacterium ruminantium,72.99,0;72.99;0
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Orbales@Orbaceae@Frischella@Frischella perrara,80.12,0;79.02;73.6
cellular organisms@Bacteria@Planctomycetes@Planctomycetia@Planctomycetales@Gemmataceae,0,0;0;0
cellular organisms@Eukaryota@Metazoa@Arthropoda@Insecta@Hemiptera,69.23,0;0;69.23
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Kiloniellales@Kiloniellaceae,64.43,64.43;0;0
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Kiloniellales,64.43,64.43;0;0
cellular organisms@Eukaryota@Fungi@Ascomycota@Eurotiomycetes@Eurotiales@Aspergillaceae@Penicillium@Penicillium italicum,70.33,70.33;0;0
cellular organisms@Bacteria@Firmicutes@Bacilli@Bacillales,93.86,90.71;89.52;85.59
cellular organisms@Bacteria@Firmicutes@Bacilli@Bacillales@Bacillaceae@Bacillus,79.06,0;74.04;77.42
cellular organisms@Eukaryota@Fungi@Ascomycota@Eurotiomycetes@Chaetothyriales@Herpotrichiellaceae@Fonsecaea@Fonsecaea erecta,76.23,0;76.23;0
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Prevotellaceae@Prevotella@Prevotella timonensis,77.31,0;77.31;0
cellular organisms@Bacteria@Verrucomicrobia@Verrucomicrobiae@Verrucomicrobiales@Akkermansiaceae,104.35,104.28;78.54;85.62
cellular organisms@Bacteria@Firmicutes@Erysipelotrichia@Erysipelotrichales@Erysipelotrichaceae@Candidatus Stoquefichus@Candidatus Stoquefichus sp. KLE1796,79.3,0;66.61;79.06
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Coprococcus@Coprococcus catus,88.54,0;82.51;87.29
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Sphingomonadales@Sphingomonadaceae@Sphingomonas,65.92,65.92;0;0
cellular organisms@Bacteria@Firmicutes@Bacilli@Bacillales@Bacillaceae@Bacillus@Bacillus licheniformis,71.86,0;71.86;0
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Clostridiaceae@Caloranaerobacter@Caloranaerobacter azorensis,66.99,0;0;66.99
cellular organisms@Eukaryota@Metazoa@Arthropoda@Insecta,76.97,0;74.28;73.62
cellular organisms@Eukaryota@Metazoa@Arthropoda@Insecta@Hemiptera@Miridae,69.23,0;0;69.23
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Xanthomonadales@Xanthomonadaceae@Stenotrophomonas,78.98,0;71.9;78.03
cellular organisms@Eukaryota@Metazoa@Arthropoda@Insecta@Hemiptera@Miridae@Lygus,69.23,0;0;69.23
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Propionibacteriales@Propionibacteriaceae@Pseudopropionibacterium,73.37,70.74;0;69.94
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Xanthomonadales@Xanthomonadaceae@Stenotrophomonas@Stenotrophomonas maltophilia,78.03,0;0;78.03
cellular organisms@Eukaryota@Metazoa@Arthropoda@Insecta@Hemiptera@Miridae@Lygus@Lygus hesperus,69.23,0;0;69.23
cellular organisms@Archaea@Euryarchaeota@Halobacteria@Halobacteriales@Halobacteriaceae@Halorhabdus,69.31,0;0;69.31
cellular organisms@Bacteria@Firmicutes@Erysipelotrichia@Erysipelotrichales@Erysipelotrichaceae@Eggerthia,71.58,0;68.79;68.33
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhodobacterales@Rhodobacteraceae@Phaeobacter,82.99,0;81.45;77.74
cellular organisms@Eukaryota@Metazoa@Nematoda@Chromadorea@Spirurida@Thelaziidae@Thelazia@Thelazia callipaeda,73.01,73.01;0;0
cellular organisms@Eukaryota@Metazoa@Nematoda@Chromadorea@Spirurida@Thelaziidae@Thelazia,73.01,73.01;0;0
cellular organisms@Bacteria@Firmicutes@Bacilli@Lactobacillales@Streptococcaceae@Streptococcus@Streptococcus sp. HPH0090,81.12,0;78.1;78.13
cellular organisms@Eukaryota@Metazoa@Nematoda@Chromadorea@Spirurida@Thelaziidae,73.01,73.01;0;0
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Legionellales@Legionellaceae@Legionella@Legionella norrlandica,72.95,72.95;0;0
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Micromonosporales@Micromonosporaceae,77.56,0;76.68;70.2
cellular organisms@Eukaryota@Fungi@Ascomycota@Eurotiomycetes@Chaetothyriales@Herpotrichiellaceae@Fonsecaea,76.23,0;76.23;0
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Enterobacterales@Pectobacteriaceae@Pectobacterium,71.74,71.74;0;0
cellular organisms@Bacteria@Gemmatimonadetes@Gemmatimonadetes@Gemmatimonadales@Gemmatimonadaceae@Gemmatimonas,66.61,0;0;66.61
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Streptomycetales@Streptomycetaceae@Streptomyces@Streptomyces incarnatus,62.63,0;0;62.63
cellular organisms@Bacteria@Firmicutes@Negativicutes@Selenomonadales@Sporomusaceae@Pelosinus@Pelosinus sp. UFO1,67.36,0;0;67.36
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Orbales,80.12,0;79.02;73.6
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Orbales@Orbaceae,80.12,0;79.02;73.6
cellular organisms@Bacteria@Thermotogae@Thermotogae@Thermotogales@Fervidobacteriaceae,70.14,0;67.75;66.4
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Enterobacterales@Erwiniaceae@Buchnera,77.65,0;77.65;0
cellular organisms@Eukaryota@Metazoa@Arthropoda@Insecta@Diptera@Psychodidae@Phlebotomus@Phlebotomus orientalis,72.67,0;72.67;0
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Clostridiaceae@Clostridium,100.97,92.99;99.17;93.53
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Bacteroidaceae@Bacteroides@Bacteroides ovatus,75.86,75.86;0;0
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Clostridiaceae@Clostridium@Clostridium cellulovorans,72.16,0;0;72.16
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Clostridiaceae@Clostridium@Clostridium cylindrosporum,69.63,0;0;69.63
cellular organisms@Bacteria@Firmicutes@Bacilli@Bacillales@Paenibacillaceae@Paenibacillus@Paenibacillus barengoltzii,74.89,0;74.89;0
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Anaerotruncus@Anaerotruncus colihominis,83.73,71.6;78.74;81.66
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhodobacterales@Rhodobacteraceae@Phaeobacter@Phaeobacter gallaeciensis,82.99,0;81.45;77.74
cellular organisms@Bacteria@Firmicutes@Bacilli@Bacillales@Paenibacillaceae@Brevibacillus@Brevibacillus sp. BC25,78.87,0;78.87;0
cellular organisms@Bacteria@Deinococcus-Thermus@Deinococci@Thermales@Thermaceae@Thermus@Thermus parvatiensis,76.8,0;0;76.8
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Ruminiclostridium@Clostridium stercorarium,83.38,76.81;0;82.3
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Peptostreptococcaceae@Acetoanaerobium@Clostridium sticklandii,66.29,0;0;66.29
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Prevotellaceae@Prevotella@Prevotella oulorum,0,0;0;0
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Ruminiclostridium@Clostridium thermocellum,76.11,76.11;0;0
cellular organisms@Bacteria@Firmicutes@Bacilli@Bacillales@Paenibacillaceae@Paenibacillus@Paenibacillus sp. 32O-W,78.09,0;0;78.09
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhodospirillales@Acetobacteraceae@Gluconacetobacter,68.48,0;0;68.48
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhizobiales@Aurantimonadaceae,79.38,0;74.45;77.7
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Ruminiclostridium@[Clostridium] cellulolyticum,66.99,0;0;66.99
cellular organisms@Archaea@Euryarchaeota@Methanomicrobia,73.18,0;73.18;0
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Lachnoclostridium@[Clostridium] clostridioforme,70.7,0;0;70.7
